num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
1,32,1,1,2,2,1,1,1,2,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,U,1,3,1,9
2,34,1,3,2,2,1,1,1,4,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,5,1,U,1,3,2,9
3,9,1,1,2,2,1,1,1,4,3,2,1,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,U,1,3,1,9
4,47,2,0,0,0,0,0,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
5,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,1,9
6,17,2,0,0,0,0,0,1,5,3,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,0,2,U,1,2,1,9
7,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,2,1,9
8,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,2,2,9
9,62,1,8,2,2,2,1,1,4,3,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,0,2,U,1,2,1,9
10,69,2,0,0,0,0,0,1,2,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
11,40,2,0,0,0,0,0,1,6,3,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
12,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
13,43,1,4,2,2,1,1,1,4,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
14,25,1,10,2,2,2,1,1,10,3,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,4,1,U,1,3,2,9
15,23,1,2,2,2,1,1,1,5,3,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,4,1,U,1,3,1,9
16,46,1,10,2,2,1,1,1,6,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,5,1,U,1,3,1,9
17,26,1,8,2,2,2,1,1,10,3,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,4,1,U,1,3,1,9
18,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,1,9
19,30,2,0,0,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
20,19,1,1,1,1,1,1,1,8,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,5,1,U,1,3,2,9
21,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,1,9
22,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
23,63,1,4,2,2,1,1,1,4,3,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,3,1,U,1,3,1,9
24,19,1,3,2,2,1,1,1,4,3,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,5,1,U,1,3,1,9
25,48,2,0,0,0,0,0,1,7,3,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,5,2,U,1,3,2,9
26,54,1,8,2,2,2,1,1,8,2,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,U,1,3,1,9
27,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
28,37,1,7,2,2,2,1,1,12,3,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,5,1,U,1,3,1,9
29,82,1,6,2,1,2,1,1,10,3,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
30,49,1,6,2,2,2,1,1,6,3,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,4,1,U,1,3,1,9
31,42,1,2,2,2,1,1,1,5,3,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,4,1,U,1,3,2,9
32,20,1,3,2,2,1,1,1,6,3,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,4,1,U,1,3,1,9
33,66,2,0,0,0,0,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
34,17,1,5,1,2,1,1,1,12,3,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,0,2,U,1,3,1,9
35,72,2,0,0,0,0,0,2,1,3,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
36,75,2,0,0,0,0,0,2,2,3,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,2,9
37,23,1,8,1,1,2,1,1,8,3,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,4,1,U,1,3,2,9
38,42,1,8,2,2,2,1,1,10,3,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,4,1,U,1,3,1,9
39,60,1,8,2,2,2,1,1,8,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,U,1,3,2,9
40,30,1,3,2,2,2,1,1,8,3,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,4,1,U,1,3,2,9
