usa_2fa,reutiliza_contrasena,ubicaciones_frecuentes,dispositivos_usados,cambia_contrasena
No,Si,cuauhtemoc,smartphone,Trimestral
Si,No,coyoacan,laptop,Bimestral
No,Si,tlalpan,laptop,Semestral
No,No,alvaro_obregon,laptop,Anual
No,Si,benito_juarez,tablet,Anual
No,No,alvaro_obregon,desktop,Anual
No,Si,tlalpan,smartphone,Bimestral
Si,Si,alvaro_obregon,desktop,Bimestral
Si,No,coyoacan,tablet,Mensual
No,Si,alvaro_obregon,tablet,Trimestral
Si,No,magdalena_contreras,smartphone,Nunca
Si,Si,cuauhtemoc,desktop,Semestral
No,No,magdalena_contreras,laptop,Bimestral
Si,Si,tlalpan,desktop,Mensual
No,No,benito_juarez,tablet,Anual
Si,No,coyoacan,tablet,Trimestral
Si,Si,magdalena_contreras,desktop,Mensual
No,No,tlalpan,smartphone,Nunca
No,Si,cuauhtemoc,desktop,Mensual
No,Si,tlalpan,tablet,Semestral
No,No,cuauhtemoc,smartphone,Bimestral
Si,No,coyoacan,smartphone,Nunca
No,Si,tlalpan,smartphone,Nunca
Si,No,coyoacan,laptop,Anual
Si,Si,magdalena_contreras,smartphone,Semestral
Si,No,coyoacan,tablet,Anual
Si,Si,magdalena_contreras,smartphone,Mensual
Si,No,alvaro_obregon,smartphone,Trimestral
Si,No,cuauhtemoc,laptop,Bimestral
Si,No,coyoacan,laptop,Anual
Si,No,alvaro_obregon,tablet,Semestral
Si,No,alvaro_obregon,smartphone,Anual
No,Si,benito_juarez,desktop,Mensual
No,Si,benito_juarez,desktop,Trimestral
No,Si,alvaro_obregon,smartphone,Bimestral
Si,Si,tlalpan,tablet,Anual
No,No,tlalpan,desktop,Nunca
Si,No,magdalena_contreras,desktop,Trimestral
No,No,benito_juarez,laptop,Semestral
No,Si,coyoacan,tablet,Trimestral
No,No,alvaro_obregon,smartphone,Anual
No,No,magdalena_contreras,laptop,Trimestral
No,No,tlalpan,smartphone,Anual
No,No,cuauhtemoc,smartphone,Trimestral
Si,Si,coyoacan,tablet,Nunca
Si,Si,tlalpan,desktop,Nunca
Si,No,cuauhtemoc,laptop,Trimestral
No,No,cuauhtemoc,tablet,Semestral
Si,Si,alvaro_obregon,laptop,Semestral
Si,Si,alvaro_obregon,smartphone,Semestral
Si,Si,coyoacan,smartphone,Mensual
Si,No,alvaro_obregon,desktop,Anual
Si,No,cuauhtemoc,desktop,Trimestral
No,Si,benito_juarez,desktop,Nunca
Si,No,tlalpan,desktop,Anual
No,No,cuauhtemoc,laptop,Mensual
Si,Si,magdalena_contreras,tablet,Bimestral
No,Si,magdalena_contreras,laptop,Trimestral
Si,No,alvaro_obregon,desktop,Trimestral
No,Si,coyoacan,laptop,Semestral
Si,Si,cuauhtemoc,laptop,Semestral
Si,Si,cuauhtemoc,desktop,Mensual
No,Si,cuauhtemoc,smartphone,Bimestral
Si,No,benito_juarez,desktop,Mensual
Si,No,magdalena_contreras,desktop,Trimestral
Si,No,cuauhtemoc,desktop,Nunca
No,No,cuauhtemoc,tablet,Bimestral
Si,No,tlalpan,tablet,Mensual
Si,No,coyoacan,desktop,Nunca
Si,Si,alvaro_obregon,desktop,Anual
Si,Si,tlalpan,laptop,Trimestral
No,No,cuauhtemoc,desktop,Mensual
No,No,benito_juarez,desktop,Nunca
No,Si,benito_juarez,tablet,Mensual
No,Si,coyoacan,tablet,Nunca
No,Si,alvaro_obregon,tablet,Nunca
No,Si,coyoacan,laptop,Trimestral
No,Si,cuauhtemoc,desktop,Trimestral
Si,No,coyoacan,laptop,Nunca
No,Si,benito_juarez,tablet,Nunca
Si,Si,cuauhtemoc,laptop,Mensual
No,Si,cuauhtemoc,desktop,Bimestral
No,No,tlalpan,smartphone,Trimestral
No,Si,alvaro_obregon,tablet,Trimestral
Si,No,cuauhtemoc,tablet,Nunca
No,No,cuauhtemoc,desktop,Trimestral
Si,Si,benito_juarez,smartphone,Mensual
Si,Si,magdalena_contreras,desktop,Anual
Si,Si,magdalena_contreras,laptop,Mensual
No,No,tlalpan,laptop,Anual
No,No,tlalpan,desktop,Semestral
Si,No,tlalpan,smartphone,Mensual
Si,Si,magdalena_contreras,tablet,Trimestral
No,No,benito_juarez,laptop,Bimestral
Si,No,tlalpan,tablet,Nunca
No,Si,tlalpan,tablet,Bimestral
No,Si,alvaro_obregon,tablet,Anual
Si,Si,tlalpan,smartphone,Anual
No,Si,magdalena_contreras,smartphone,Trimestral
Si,Si,tlalpan,smartphone,Mensual
Si,Si,coyoacan,laptop,Trimestral
No,No,coyoacan,smartphone,Bimestral
Si,Si,benito_juarez,desktop,Bimestral
Si,No,coyoacan,desktop,Mensual
Si,Si,alvaro_obregon,tablet,Trimestral
Si,Si,tlalpan,laptop,Semestral
Si,Si,coyoacan,desktop,Nunca
Si,No,coyoacan,laptop,Trimestral
No,No,tlalpan,smartphone,Nunca
Si,Si,tlalpan,tablet,Mensual
Si,Si,tlalpan,laptop,Trimestral
No,No,tlalpan,desktop,Trimestral
Si,No,alvaro_obregon,laptop,Mensual
No,Si,cuauhtemoc,laptop,Semestral
No,Si,benito_juarez,tablet,Bimestral
Si,Si,cuauhtemoc,desktop,Nunca
No,No,benito_juarez,tablet,Semestral
No,No,alvaro_obregon,desktop,Nunca
Si,No,tlalpan,smartphone,Trimestral
No,Si,magdalena_contreras,tablet,Semestral
No,No,magdalena_contreras,tablet,Anual
No,Si,alvaro_obregon,laptop,Mensual
Si,No,benito_juarez,desktop,Anual
Si,No,magdalena_contreras,laptop,Bimestral
Si,Si,alvaro_obregon,desktop,Semestral
Si,Si,tlalpan,desktop,Bimestral
No,No,cuauhtemoc,tablet,Bimestral
No,No,alvaro_obregon,desktop,Nunca
No,No,magdalena_contreras,laptop,Anual
No,No,tlalpan,smartphone,Trimestral
No,No,benito_juarez,laptop,Nunca
Si,Si,tlalpan,desktop,Nunca
No,No,alvaro_obregon,laptop,Trimestral
No,Si,cuauhtemoc,smartphone,Anual
No,No,coyoacan,laptop,Bimestral
No,No,alvaro_obregon,desktop,Mensual
No,No,benito_juarez,desktop,Anual
No,No,tlalpan,smartphone,Bimestral
No,No,coyoacan,smartphone,Trimestral
Si,No,tlalpan,smartphone,Bimestral
No,Si,alvaro_obregon,desktop,Trimestral
No,No,magdalena_contreras,laptop,Bimestral
Si,No,alvaro_obregon,desktop,Anual
No,No,magdalena_contreras,tablet,Anual
Si,Si,tlalpan,smartphone,Trimestral
Si,No,alvaro_obregon,tablet,Mensual
No,No,benito_juarez,desktop,Semestral
No,No,cuauhtemoc,tablet,Nunca
Si,Si,benito_juarez,desktop,Semestral
Si,Si,cuauhtemoc,desktop,Mensual
Si,Si,benito_juarez,laptop,Mensual
No,Si,cuauhtemoc,laptop,Anual
No,Si,cuauhtemoc,tablet,Mensual
No,Si,alvaro_obregon,smartphone,Nunca
No,No,cuauhtemoc,tablet,Nunca
Si,No,coyoacan,desktop,Trimestral
Si,No,magdalena_contreras,desktop,Trimestral
No,No,cuauhtemoc,tablet,Anual
No,No,benito_juarez,smartphone,Mensual
No,Si,tlalpan,tablet,Mensual
No,No,benito_juarez,laptop,Nunca
No,No,coyoacan,smartphone,Trimestral
Si,Si,tlalpan,desktop,Nunca
Si,Si,alvaro_obregon,tablet,Anual
No,Si,coyoacan,desktop,Trimestral
Si,No,coyoacan,tablet,Anual
Si,No,cuauhtemoc,tablet,Bimestral
Si,No,benito_juarez,laptop,Bimestral
No,No,alvaro_obregon,smartphone,Bimestral
Si,Si,cuauhtemoc,laptop,Semestral
Si,Si,tlalpan,laptop,Mensual
No,No,coyoacan,desktop,Anual
Si,No,coyoacan,laptop,Anual
No,No,coyoacan,laptop,Trimestral
Si,Si,coyoacan,laptop,Anual
Si,No,benito_juarez,desktop,Trimestral
No,No,cuauhtemoc,smartphone,Anual
No,No,benito_juarez,smartphone,Bimestral
No,Si,magdalena_contreras,smartphone,Semestral
No,Si,alvaro_obregon,smartphone,Semestral
No,No,tlalpan,desktop,Semestral
No,Si,alvaro_obregon,smartphone,Anual
Si,Si,tlalpan,tablet,Nunca
No,Si,magdalena_contreras,desktop,Anual
No,No,cuauhtemoc,smartphone,Nunca
Si,Si,benito_juarez,tablet,Semestral
No,Si,coyoacan,smartphone,Mensual
No,No,coyoacan,tablet,Semestral
No,Si,coyoacan,tablet,Bimestral
Si,No,magdalena_contreras,smartphone,Bimestral
No,No,alvaro_obregon,desktop,Bimestral
Si,No,coyoacan,laptop,Bimestral
Si,Si,coyoacan,desktop,Bimestral
No,No,benito_juarez,desktop,Bimestral
Si,No,tlalpan,tablet,Nunca
No,Si,coyoacan,smartphone,Anual
No,No,coyoacan,smartphone,Semestral
No,No,alvaro_obregon,laptop,Mensual
No,No,magdalena_contreras,smartphone,Bimestral
No,No,benito_juarez,desktop,Semestral
